,author,published_at,comment,like
851,@kamandanu8,2024-12-01T22:21:09Z,AHY kalau memberi pernyataan ataupun menjawab pertanyaan itu kalimatnya sangat runut dan jelas. 👍👍,18
852,@dwipaartofficial172,2024-12-02T00:58:35Z,beda dg anis..muter2 kemana2...,1
853,@fathirmaricar8274,2024-12-02T01:21:39Z,​@@dwipaartofficial172 yg penting di kasih tulang aman semua,0
854,@abdulwahab2834,2024-12-02T02:05:43Z,@@dwipaartofficial172 anis muter2nya cuma di DKI,1
855,@3aries814,2024-12-02T02:47:07Z,"Lebih jelas gibran
😁😁",1
856,@nurhayakarinda966,2024-12-02T07:03:14Z,Jawabnnya bukan ko' tny saya....😂,1
857,@herrykurniawan4841,2024-12-01T22:16:42Z,"Mantap AHY memaparkan,,,,,gak kayak planga plongo pidato asal  keluar gak mikirkan bangun IKN asal hantam anggarannya",0
858,@JoJo-l4z5r,2024-12-01T22:15:40Z,Alhamdulilah sehat selalu mas menteri ahy❤,1
859,@priyono734,2024-12-01T22:14:15Z,Ygng terpenting untuk peningkatan kesejshteraan rakyat yg lebih diutamskan.,53
860,@dwipaartofficial172,2024-12-02T00:58:08Z,"klw itu sudah dilakukan bertahap.gaji akan dinaikkan...BLT,bansos jg dilanjutkan..",0
861,@lilikrachmiati657,2024-12-01T22:11:47Z,Gaspol mas mentri 👍✌❤🇲🇨,8
862,@haryono-yu6ry,2024-12-01T22:11:17Z,Gibran Lesmana mandrakumara wapres kok plonga plongo...pak Ahy jos gandos cerdas kominikasx mudah dimengerti,0
863,@Thunder_RR,2024-12-01T21:57:26Z,Prabowo - ahy 2029,0
864,@QonitaAzZahra-rj5dh,2024-12-01T21:56:04Z,Ini pantasnya jadi wapresnya mbh wo,0
865,@titimyulia3693,2024-12-01T21:50:57Z,"Alhamdulillah
Pa AHY  dukung terus",0
866,@mesakmalailak1671,2024-12-01T21:50:42Z,KADIN Ada Berapa?,0
867,@sukestiiriani3415,2024-12-01T21:47:33Z,"Prioritaskan kesejahteraan masyarakat, banyak masyarakat yang tidak bisa makan setiap hari.",0
868,@Amanah-g8r,2024-12-01T23:17:13Z,@@sukestiiriani3415 masyarakat mana itu bro yg setiap hari ga bisa makan,1
869,@budimargarito989,2024-12-01T21:41:49Z,"AHY bukan dari kalangan usaha dalam keterampilan berusaha dan tidak ada punya pengalaman , jadi bukan pada tempatnya menjadi menteri , jadi perlu belajar dalam usah bussiness usaha lainnya . 
Mengundurkan diri jadi TNI dan tidak bisa menuntaskan kelanjutan sebagai prajurit yang kesatria .",0
870,@bintanmas3080,2024-12-01T22:01:41Z,yg cocok abah sama si uban ya 😂😂,0
871,@herrypujiono7105,2024-12-02T00:26:03Z,SOK TAHU Nyet ... 😂😂😂,0
872,@NaomiLiling,2024-12-01T21:34:06Z,Tu baru calon pemimpin masa depan........bukan apa2 pencitraan bagi bagi bansos.....semoga rakyat cepat sadar bahwa semua pemimpin perlu pengkaderan  .....bukan karna bapak atau paman .....semua bisa diatur demi meloloskan keluarganya .....,2
873,@IrsyadMaulanazain,2024-12-01T21:17:14Z,"masih tunggu komando Mulyono 2029.... AHY , Gibran ok",0
874,@ZeinAhmad-yk4if,2024-12-01T20:42:19Z,IKN di abaikan dulu saja gak penting,0
875,@subechi0675,2024-12-01T20:28:52Z,Akhirnya sama Hambalang juga bahkan ini lebih besar lagi.,0
876,@satria954,2024-12-01T20:21:30Z,Yg begini jadi wapres(ahy)ini malah fufufafa yg gak bisa bernarasi politik,0
877,@bundaeda4390,2024-12-01T20:19:45Z,"IKN jgn lp masyarakat yg sdh di singkirkan dr tanahnya,,",10
878,@daengkulle8121,2024-12-01T20:07:21Z,"SEPERTI NEGARA YG LAIN, PEMINDAHAN IBUKOTA BARU MEMANG MEMAKAN WAKTU, JADI SABAR DAN WAKTUNYA AKAN TERWUJUD, SEMOGA BERJALAN LANCAR, SUKSES INDONESIA 🇮🇩",52
879,@KhamirahPenyarang,2024-12-01T22:17:32Z,Amin,3
880,@indrawahyudi8970,2024-12-02T00:03:18Z,Amiiiin ya rabbal Alamiiin...,2
881,@KhamirahPenyarang,2024-12-02T00:10:16Z,"@@daengkulle8121 Amin ya Alloh ,BPK Prabowo gak hanya omon"" saja nyatanya sekarang koruptor udh mulai di proses judi onlan di Brantas INSA Alloh aman makmur gizi trcukupi ,hidup tentram amin",0
882,@KhamirahPenyarang,2024-12-02T00:13:46Z,"@@daengkulle8121 Ikn ibu kota baru ,SHT ,sejuk pasti BPK Prabowo nanti segera menempatinya di ska ke baikan ,indah banget ikn ,masjidnya bagus ,sampah trus bisa di masak gak ada kumuh ,ah betah di sana gak banjir Amin ya Alloh ,Engkau memberi petunjuk blm terlambat buat ibu kota baru ,alhamdulilah kami ucapkan",3
883,@kristamrizkyfauzi3901,2024-12-02T11:38:49Z,"​​@@KhamirahPenyarang IKN sejuk itu mimpi, kecuali dalam
 gedung,  ber AC
Aku warga Jakarta yang sudah bolak balik Balikpapan  samarinda tahu itu, 
Walau anda dalam hutan yang rimbun,",3
884,@NyomanYasa-n1s,2024-12-01T20:06:29Z,Pak AHY. Sepertinya untuk Pemimpin masa depan..gak perlu diragukan..punya semuanya  integritas..kedisiplinan kejujuran dan kerja nyata..tidak suka pencitraan..maju terus Pak.,32
885,@suwarnomudiono2483,2024-12-01T22:37:11Z,"Gibran modelnya ""PENCITRAAN"" yg akan menyesalkan dng dinasty jkw",1
886,@dwipaartofficial172,2024-12-02T00:59:50Z,klw bersaing nyapres dg gibran pasti kalah AHY..cocoknya jd wakilnya...,0
887,@yamtayutana1190,2024-12-01T19:57:09Z,Dari pada uang dipakai untuk IKN lebih baik untuk bangun perumahan rakyat miskin.,27
888,@bambangwahyudi5720,2024-12-02T01:10:38Z,Ya usaha nyicil bang.,1
889,@nanangsupriatnaaa123,2024-12-02T01:39:40Z,"​@@bambangwahyudi5720yg rakyat miskin mana bisa nyicil lucu anda😁
Negara yg harus bantu",0
890,@farismansyur43,2024-12-02T08:00:02Z,makanya kerja.bos​@@nanangsupriatnaaa123,0
891,@brengganmanurung3568,2024-12-02T12:02:00Z,"Ngapain mikirin rakyat, lanjutkan IKN 😂",0
892,@Privyatukraine,2024-12-02T22:26:10Z,​@@brengganmanurung3568jakarta aja yang untuk rakyat aset aset di jakarta di jualin duit nya di bangun perumahan rakyat mau,0
893,@Nurulfansbassmalah,2024-12-01T19:54:49Z,Panca sila,0
894,@Nurulfansbassmalah,2024-12-01T19:54:23Z,Nasib bangsa dan tanah aer berada ditangan rakyat semua,7
895,@Swiliki,2024-12-01T19:20:33Z,Beda kelas anak mulyono sama ahy😂 si ono cuma bisa jawab singkat,0
896,@nikimawon888,2024-12-01T19:10:17Z,Waduh remuk nambah kemiskinan..dagang lambat kepayuane..susah minta bantuan apalagi pinjam bank wah dipersulit..,0
897,@MisranSonica,2024-12-01T18:59:22Z,"JANGAN CUMA NYARI PANGGUNG

POLITIKUS AKHIR JAMAN 
SIASAT CUMA OMON OMON 😂😂",0
898,@ElseriaTambunan-yh2cm,2024-12-01T18:56:03Z,"Ahy bda jauh dgn gibran ,gibran krjany hnya bsa bagi bagi bansos,mkan gizi gratis..",0
899,@agusafandi5106,2024-12-01T17:42:38Z,Lebih penting masyarakat daripada IKN,0
900,@rikaswandayani2954,2024-12-01T17:34:22Z,Mending Ahy wapres drpd fufufafa gibran,3
901,@tryastikabagus427,2024-12-01T17:29:14Z,Negara kuram dan kegelapan menuju kehancuran,0
902,@JORDANJUANSAH,2024-12-01T17:25:38Z,Saudi hadir p Ahy semoga sht selalu,0
903,@yusramahendra6203,2024-12-01T17:01:28Z,Hambalang di olok2 mulyono mangkrak😂,0
904,@agungbudiyono4464,2024-12-01T16:55:29Z,AHY Calon RI 1,0
905,@krisyantowibowo,2024-12-01T16:35:35Z,"siapa saja yg mendekat dgn Pak Jokowi akan di bukakan kecerdasannya, menjauh dari Pak Jokowi akan di nampakkan kebodohannya....
keren mas AHY...selamat mengemban tugas mulia ini utk NKRI damai maju sejahtera❤🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩",0
906,@fathirmaricar8274,2024-12-02T01:26:04Z,Aneh bin ajaib pernyataanmu,0
907,@MrRiswanluthfi,2024-12-03T13:15:33Z,Err. Apa gak terbalik?,0
908,@Alip-B,2024-12-01T16:34:12Z,Cocok bngt AHY untuk jadi WAPRES..Lugas jelas.. cara pidatonya,0
909,@pamungkasloewe74loewe,2024-12-01T16:27:53Z,"ikn mangkrak,rakyat menjerit",0
910,@aprima4844,2024-12-01T16:39:57Z,sudah jadi siap huni,0
911,@pamungkasloewe74loewe,2024-12-01T16:43:43Z,@aprima4844  sebagian banyak yang ga betah,0
912,@shetiamie8466,2024-12-01T23:21:18Z,Kalo udh pindah pasti betah dari pada kedepannya pada tenggelam,0
913,@pamungkasloewe74loewe,2024-12-02T03:29:11Z,@shetiamie8466  sana sini hutan betah dr mn?,0
914,@shetiamie8466,2024-12-02T08:02:39Z,@@pamungkasloewe74loewe namanya juga green city bosku,0
915,@febisaputro2401,2024-12-01T16:26:19Z,IKN Ibu Kota Ngga guna,0
916,@ArifSanjayasaputra-lk2hy,2024-12-01T19:03:00Z,Berguna,0
917,@farid_at3425,2024-12-01T16:17:19Z,Program warisan yang sangat sangat⁷ membebani pak Prabowo. Andai ndak ada IKN mungkin makan siang gratis dan 8% akan lebih cepat.,0
918,@DellaHafiz-o6c,2024-12-02T00:34:17Z,Ahh massa sihhh😅,0
919,@ريتااوهي,2024-12-01T16:06:37Z,Pak.Ahy.idolaku.,0
920,@musrimus3661,2024-12-01T16:05:37Z,Tak ada yang jujur mereka sudah tradisi bohong maka Indonesia mundur tunggu gagal bayar utang kolep,0
921,@djoko8676,2024-12-01T15:58:52Z,AHY  🇮🇩👍👍👍👍,0
922,@GelarSRamdhani,2024-12-01T15:45:36Z,future leader,0
923,@otoniskandar6131,2024-12-01T15:44:11Z,BAPAKMU  BANGUN  PROYEK  YG  DI HAMBALANG  GIMANA  TUH .?,1
924,@ismani3599,2024-12-01T16:00:01Z,Mangkrak bosss......😂😂😂,0
925,@FcChoice-yp7nf,2024-12-01T15:25:59Z,Kalau wapres yang di wawancara.jawabnya pasti.hmm ya gak tau kok tanya saya. Tanya aja yang punya akun fufu fafa.😅😅,0
926,@TonEtta-jc6vk,2024-12-01T15:21:30Z,DAHULUKAN KESEJAHTERAAN RAKYAT DARI PADA IKN,0
927,@Lukman-y8f,2024-12-01T15:21:04Z,Harus lanjut ikn jgn jawa aja yg dibangun,3
928,@Buruh-harian,2024-12-01T15:29:23Z,Setuju 👍👍👍👍,1
929,@NinaJakarta-k7x,2024-12-01T15:17:35Z,"Bangun terus jadikan symbol kesengsaraan rakyat tutup mata, hati dan telinga anggap saja semua rakyat sejahtera",0
930,@wartiko6221,2024-12-01T15:13:05Z,Lanjudkeen IKN sebagai Simbol Kejayaan Nusantara sesuai Cita cita Bunk KARNO Proklamator kemerdekaan Indonesia MERDEKA 🇮🇩🎉🌷👍,3
931,@ismani3599,2024-12-01T15:36:44Z,"Merdeka......!!!!!!
Jangan ikutan anak Abah yang tidak suka indonesia maju",1
932,@henricarita,2024-12-01T15:08:30Z,🙏 PA AHY.  MANTAAAAB 👍🙏😀,1
933,@SalafyJabawocky,2024-12-01T15:06:49Z,"bangun aja IKN bos-ku . . . .. abaikan aja janji politik Makan Siang Gratis . . . kan sudah Menang . . . .Gampang kok bohongin rakyat, mereka sudah lupa dengan program makan siang gratis . . . lalu kalau rakyat Tagih janji makan siang gratis di PHP-in aja lagi",0
934,@ismani3599,2024-12-01T16:04:50Z,"Kasihan anak Abah, ga ada yg jadi pejabat di pemerintahan",0
935,@duterti7331,2024-12-01T15:04:14Z,HAMBALANG KE 2 MANGKRAK MANGKRAK 😂,0
936,@ismani3599,2024-12-01T16:12:51Z,"Emang itu doanya anak Abah, yg s😂lalu sakit hati, iri dan dengki. Ga boleh indonesia maju",0
937,@herrypujiono7105,2024-12-02T00:28:38Z,Komen BASI ... 😂😂😂,0
938,@arjunasrikandi8546,2024-12-01T15:01:27Z,Kalau Wapres nya suruh pidato gemeteran ya 😅😅😅,1
939,@dilakhadilah9659,2024-12-01T15:00:25Z,"Prabowo lebih milih mensejahtrakan rakyat ketimbang pembangaun ,,jnagan harap ikn jadi di era prabowo",5
940,@tru_inspiration3357,2024-12-01T17:08:04Z,"Lah beliau sendiri yang bilang pembangunan gedung yudikatif dan legislatif di IKN harus dipercepat, target selesai paling lambat 2028 bisa pindah ibu kota, terus lu yang cuman rakyat jelata berpenghasilan UMR yang bahkan ga kenal dan bukan siapa²nya pak Prabowo malah paling tau soal Prabowo wkwk.",3
941,@dompetminimalis9267,2024-12-01T17:47:50Z,Wkwkwk... Banyak²in aja lu berdoa biar IKN gagal.. Bsok dah panas²an ikut reuni 212...😂😂,0
942,@wawanhermawan-xq4lu,2024-12-01T18:16:17Z,Ada lg yg komen ahy pantes jd wakil persiden belum saatnya .tuhan  lebih percaya ama gibran .jd wakil gubernur juga kalah apa lg jd wakil persiden,0
943,@MasPung-rx2wl,2024-12-01T20:16:32Z,@@tru_inspiration3357 itu kalo ada  dananya. Karena selama ini yg mendanai IKN itu dari APBN belum ada pihak swasta yg masuk. Klo dipaksa terus dg APBN maka program2 Prabowo yg ia janjikan akan macet. Makan siang gratis saja turun dari 15k menjadi 10K..Duuhh,0
944,@Amanah-g8r,2024-12-01T23:12:56Z,"@@dilakhadilah9659 era prabowo cuma melanjutkan, lebih ringan drpd awal² membangun, palingan ligeslatif dan eksekutif yg akan dibangun.",0
945,@massaidbasry5533,2024-12-01T14:59:14Z,"Batalkan ajah IKN belum perlu scara mndesak. Jakarta msih layak. Dahulukan kesejahtrakan rakyat. Makan gratis, gaji /upah naik. Sembako murah. BBM murah dan mudah didapat. Lap kerja trsedia dsb. 
Smoga Pres PS merealisasikan",0
946,@AA_GLOWINGFYP,2024-12-01T15:11:16Z,Trus ikn buat apa😂,0
947,@ismani3599,2024-12-01T15:48:03Z,"Lu aja yg susah, ane enjoe ajah",0
948,@ismani3599,2024-12-01T15:48:55Z,Emang lu siapa batalkan ikn,0
949,@ArifSanjayasaputra-lk2hy,2024-12-01T18:57:40Z,"Ikn tetap berlanjut dan bertahap,",0
950,@BebenMachdi,2024-12-01T14:58:02Z,"🤣🤣🤣🤣🤣🤣🤣
Ikn gak prioritas, tidak dalam janji kampanye, mucul mendadak karena selera seseorang.....Mangkrak lah",7
951,@MarwiahWiyah,2024-12-01T14:57:52Z,Bisa di tebak.ikn gagal di teruskan bos gorong gorong jd sasaran tembak.trik prabowo cerdas dan cerdik juga halus,0
952,@hanrisusanto9534,2024-12-01T14:57:02Z,rakyat mau bukti bukan manisnya berpidato gunakan teknologi terkini tiru negara lain yg hebat / kerjasama segera yg jelas manfaat cepat efisien selesai dg cepat...untuk mengejar ketinggalan puluhan tahun.,0
953,@ismani3599,2024-12-01T15:51:46Z,"Emang kamu bisa apa? Sok ngatur ngatur ,anak Abah emang paling pinter kalo masalah ngomong jagonya",0
954,@sugiyantokdr4800,2024-12-01T14:54:13Z,Selama pak Basuki jadi kepala otorita ikn ..insaallah ikn akan berkembang dengan pesat dan berlanjut pembangunannya...,7
955,@ismani3599,2024-12-01T15:37:10Z,"Benarrr.....
Tetap semangat pak Basuki",0
956,@SyaifuddinFuddin-k4t,2024-12-03T10:35:28Z,Uangnya Dari mana? Nanti aja 2030,1
957,@wijoyokusuwo,2024-12-01T14:52:46Z,AHY end the beest calon pemimpin masa depan,1
958,@tufo5874,2024-12-01T14:49:52Z,mimpi ya mad indonesia emas,0
959,@MalamBagaiSiang,2024-12-01T14:48:32Z,Kata Nasib itu identik kurang bagus..,0
960,@Rasino63,2024-12-01T14:46:57Z,Coba Bpk ahy jadi wapres nya mantappp dah,4
961,@BudionoSidoarjo,2024-12-02T02:18:03Z,😅,0
962,@bayusutrio9778,2024-12-01T14:46:36Z,Mantap.. Mas Ahy oke gercep❤,2
963,@ardisembiring5704,2024-12-01T14:42:48Z,kelihatan di wajahnya ceria setelah jadi menteri 😂😂😂,0
964,@nurindahLestari-ys4hx,2024-12-01T14:42:24Z,Waktunya yang muda berkreasi,1
965,@AgungKurniawan-k9h,2024-12-01T14:36:43Z,"Gagalin aja IKN nya pak mentri...
Ibu kota nya di jakarta aja",1
966,@wiwinwinarsih109,2024-12-01T14:49:56Z,Setuju banget,0
967,@LisaBatak,2024-12-01T14:51:54Z,Betul. Perbaiki aj kota jkt,0
968,@Amanah-g8r,2024-12-01T15:18:39Z,"Jkt terlalu bnyk permasalahan, memperbaiki jkt lebih muahall biayanya drpd membangun ikn.",3
969,@tru_inspiration3357,2024-12-01T17:17:00Z,"Halah lu mah orang Jakarta yang ga suka ibu kotanya di pindah kasian lu orang Jakarta ibu kota mau dipindah biar pembangunan ga di Jawa melulu. Kita orang Kalimantan dan disekitarnya berasa di anak tirikan, cuman orang Jawa dan orang Jakarta ajah yang ga mau  pindah wkwk.",1
970,@ArifSanjayasaputra-lk2hy,2024-12-01T18:58:16Z,Ikn tetap berlanjut dan bertahap,1
971,@achmadyani8842,2024-12-01T14:35:36Z,PIK 2 di evaluasi dan di periksa pak .. jangan takut sama aseenngg ...,35
972,@ismani3599,2024-12-01T15:59:23Z,Justru pak Prabowo yang menginisiasi,2
973,@daengkulle8121,2024-12-01T20:08:59Z,Jangan mengada ada.. dan SOK tau,0
974,@nanangsupriatnaaa123,2024-12-02T01:37:35Z,"Setuju
Jangan takut sama oligarki 
Rakyat kecil karna awam di bodohin cukong",0
975,@afkakhalif,2024-12-01T14:34:46Z,Calon pemimpin masa depan,1
976,@Mei39394,2024-12-01T14:34:10Z,Ngomng bnyk kerja dong bnykin,1
977,@Mei39394,2024-12-01T14:33:32Z,Mimpi!!!!!,0
978,@supriadyedy3498,2024-12-01T14:32:45Z,Jangan jawa aja ug kalian bangun kami si daerah orang indonesia juga,3
979,@indrawijaya-x7o,2024-12-01T14:32:03Z,Kerja kerja kerja,0
980,@BintangjasaTehnik,2024-12-01T14:29:25Z,Menteri pak prabowo semua nya berbobot.,1
981,@Nurulfansbassmalah,2024-12-01T14:26:28Z,Gibran juga punya potensi,1
982,@Nurulfansbassmalah,2024-12-01T14:26:03Z,Mas gibran juga iklas,2
983,@bamtv7879,2024-12-01T15:40:30Z,Yup... masalah nya dia ikhlas aja gak paham...,0
984,@yusramahendra6203,2024-12-01T17:07:51Z,Fufufafa iklas,0
985,@merisiniwatimatondang4259,2024-12-01T14:25:42Z,Dari mana duitnya...apa mau hutang2 lagi.,0
986,@sofiyanefendi3189,2024-12-01T14:29:10Z,"Gak usah mikirin itu bro,otak mu GK akan sampai 😂😂",3
987,@Nurulfansbassmalah,2024-12-01T14:25:26Z,Siapa pun boleh jadi wapres termasuk gibran,2
988,@okeuprimaputra684,2024-12-01T14:21:51Z,AHY CERDAS SANTUN,3
989,@MangTri-l1x,2024-12-01T14:20:05Z,AHY di yakini akan jadi pemimpin masa depan❤,55
990,@utimecca4519,2024-12-01T21:16:49Z,"lht SJ tar JD wakilnya Gibran SDH diatur SM JASTIP ,",1
991,@MartabakCiptarasa,2024-12-01T22:24:53Z,Aamiin.......cerdas beliau,2
992,@3aries814,2024-12-02T02:46:30Z,"Pemimpin masa depan itu gibran
😁😁",1
993,@HeryHaryadiFitri-yl6qg,2024-12-03T04:49:16Z,Hayo bersaing sama  fufufafa  hahahaha,1
994,@PangeranHutauruk-c6v,2024-12-01T14:19:59Z,Mantaf pak AHY..Lanjutkan pak,18
995,@ojolopang6505,2024-12-01T14:17:30Z,Ahy...baru keluar bintang nya... Jokowi bisa melihat orang2 muda potensial... NKRI HARGA MATI..,24
996,@haha_huhu...,2024-12-01T14:25:13Z,"Bandingakan dengan gibran cara penyampain dalam berbicara ,jauh beda,",3
997,@nadazen1957,2024-12-01T14:41:17Z,​@@haha_huhu...Kwkwk... Masih pakai Text dan menghafal dr para Pembantu nya 😅,2
998,@diyaiffa3034,2024-12-01T14:42:53Z,Gibran SPT bapaknya ...kok nanya sy 😂,3
999,@FcChoice-yp7nf,2024-12-01T15:18:40Z,Ya jahu bedah gibran dengan ahy..gibran kalau ngomong kayak orang mau ngais.nahan pipis,1
1000,@wawanhermawan-xq4lu,2024-12-01T18:08:15Z,"Manusia ada kelebihan ada kekurangan.klo komen jngn
Begitu emang lo pinter mending gibran jadi wakil persiden",0
1001,@parilparil7631,2024-12-01T14:15:07Z,Tuntaskan Kemiskinan dulu pak... Kalau bisa.. Perkuat pertahanan lebih penting,0
1002,@KMD_700k,2024-12-01T14:37:10Z,Tuhan aja tidak bisa menuntaskan kemiskinan apalagi manusia,0
1003,@Amanah-g8r,2024-12-01T15:16:10Z,"Kaya miskin pasti ada, klo kaya semua, siapa yg akan jualan, gimn tuntaskan kemiskinan😅 caranya buka lapangan kerja, naikin gajih², sekolah, kuliah gratis dll",1
1004,@ismani3599,2024-12-01T15:50:24Z,Kalo kamu presidennya....😂😂😂😂,0
1005,@juarnovandega1008,2024-12-01T14:11:45Z,Kalau dulu ahy masih setia Smaa Anies duh kasian...di eranya Jokowi lah beliau jadi menteri dan sekarang dijadikan menteri lagi sama Prabowo,12
1006,@JainAub,2024-12-01T14:40:00Z,Kn klo gk sjln sm pk Persident prabowo...psti dsruh kluar dr kabinetny kn pk Persident prabowo blg sendiri..y sblmnya dia nolak dn stelah gabung dgn Persident k 7 pk jokowi  dia djdikn mntriny dn sm Persident yg skrg hrs sjln dgn Persident ny ap lg IKN hrs dlnjutkn krna itu proyek trategis ngara,5
1007,@LastriSulastrie,2024-12-01T14:10:59Z,IKN ya harus dilanjut dan diselesaikan.. krena merupakan Harga diri Nama Indonesia,4
1008,@BambangYudiyanto-iy8io,2024-12-01T15:39:00Z,"Harga diri jokowi kalii.. ga usah dilanjutlah investor ga ada ujung2nya APBN yg berat.. biarin jokowi dan jin² nya yg lanjutin sndiri.. naluri dia kan pemborong, apa2 dborong tmsk hak rakyat 😂😂",1
1009,@bamtv7879,2024-12-01T15:39:35Z,Nggak juga.... Mulyono aja dah gak ada harga diri...,1
1010,@SuhadiAnsyah,2024-12-01T14:09:01Z,INI ORANG BIJAK PINTAR DAN SANTUN,0
1011,@rafaelchanelayahputra1995,2024-12-01T14:03:53Z,Mun waafres kie krek gagh,0
1012,@abassudarmoko2187,2024-12-01T14:03:15Z,"Sebaiknya ikn jangan tergesa gesa lagi.. 
Yang terpenting kenaikkan ppn jadi 12% dibatalkan saja daripada melanjutkan ikn.",0
1013,@AraAisarthahira,2024-12-01T14:02:13Z,"Stop dulu , sejahtera kan Rakyat",1
1014,@EdwardSteven-b9h,2024-12-01T14:01:20Z,ko pada blm ngantor di IKN😂😂😂,0
1015,@Alexander-v7s,2024-12-01T13:59:40Z,"Gak usah diterusin IKN. Proyek gak jelas itu, duit buat bangun juga kagak ada.",7
1016,@BadarudinFatah-hq9hg,2024-12-01T17:50:59Z,Lanjutkan ibu kota harus pindah..,0
1017,@ArifSanjayasaputra-lk2hy,2024-12-01T18:53:48Z,"Tetap di lanjutkan,,udh jelas di pindah ko,berati jelas,,klo di pulau Jawa tidak memungkinkan... Kalimantan yg cocok sih..di pisah lebih bgus daripada di gabung di jakarta,ikn kusus pusat pemerintahan jakarta pusat perekonomian..",0
1018,@M_Herman_Thea.,2024-12-01T13:59:27Z,Alhamdulillah Anak anak bangsa Indonesia Ku yang tercinta selalu terus menerus tetap terjaga guna mementingkan kesejahteraan masyarakat rakyatnya. untuk memartabatkan bangsa ini NKRI.  Dari Aceh hingga Papua bangga.👌👍🤲😍🇮🇩🇮🇩🇮🇩💪,1
1019,@M_Herman_Thea.,2024-12-01T13:59:17Z,Alhamdulillah Anak anak bangsa Indonesia Ku yang tercinta selalu terus menerus tetap terjaga guna mementingkan kesejahteraan masyarakat rakyatnya. untuk memartabatkan bangsa ini NKRI.  Dari Aceh hingga Papua bangga.👌👍🤲😍🇮🇩🇮🇩🇮🇩💪,44
1020,@KhamirahPenyarang,2024-12-02T00:16:52Z,"@@M_Herman_Thea. Alhamdulilah amin ,lagian KLO saling memberi apa untungnya lur",1
1021,@KhamirahPenyarang,2024-12-02T00:17:37Z,"@@M_Herman_Thea. Membenci apa untungnya ,Yo bersatu padu",1
1022,@sadiatisadiati6525,2024-12-02T23:31:12Z,"Yg tua2 fukung dari belakang ,yg sdh jadi pjbt istirahat dah,maju yg muda juga lbh cerdas untuk indo emas ,yg nyinyir minggir aja .ok!!!!",0
1023,@Razi_Maulana,2024-12-01T13:58:41Z,"Ikn proyek gagal ,yakin gue ga bakal sukses ,bukan nya apa terlalu jauh ,pejabat byk ga pada yg mau pindah sana ,,",1
1024,@LastriSulastrie,2024-12-01T14:14:46Z,Yg gk mau pindah IKN ya kluar aja dri pemerintahan...yg mau jg ngantri,2
1025,@ismani3599,2024-12-01T16:11:22Z,"Itu kan kata anak Abah, dan gerombolan amin kurais",1
1026,@ArifSanjayasaputra-lk2hy,2024-12-01T18:58:54Z,Ikn tetap berlanjut dan bertahap.,1
1027,@shetiamie8466,2024-12-01T23:12:10Z,Kasian gak bisa demo lagi😅😅😅,0
1028,@HasyimAsary-l3g,2024-12-01T13:58:36Z,Kalau Mas ini sgt meyakinkan jd Wapres...😂😂,2
1029,@Sugeng-m8b,2024-12-01T13:55:10Z,JANGAN LUPA TERIMAKASIH KE PAK JOKOWI YG ANGKAT DERAJAT KAMU. KALAU NGGA ADA PAK JOKOWI KAMU MASIH NGUBLEK DI PARTE,2
1030,@ismani3599,2024-12-01T16:00:49Z,Setuju.......🎉🎉🎉,1
1031,@user-hs9ei1yl4javawood,2024-12-01T13:53:09Z,Bohong kesejahteraan masyarakat bapaknya aja ga sanggup membuat sejahtera,1
1032,@ArcangeloLeite,2024-12-01T14:12:29Z,Kapan bisa move on ya?,0
1033,@Sugeng-m8b,2024-12-01T13:53:08Z,"AHY HATI HATI KAMU YA, NARASI KAMU SELAMA INI SELALU NARASINYA NEGATIF DENGAN IKN. MASYARAKAT SEDANG MEMANTAU KAMU. PINGIN BANGET YA IKN MANGKRAK? TERLIHAT SANGAT PESIMIS KAMU SAMA IKN.",1
1034,@sigitpurnomo1760,2024-12-01T15:08:06Z,Yang di omongin ahy itu perintah prabowo boss,1
1035,@ArifSanjayasaputra-lk2hy,2024-12-01T19:02:26Z,Ikn tetap berlanjut dan bertahap,0
1036,@NotofarmPurworejo-p9m,2024-12-01T13:49:59Z,Gagah nya mas Ayh semoga kelak jadi RI 1,8
1037,@utimecca4519,2024-12-01T21:18:39Z,cb kl wakilnya ahy pasti ga ky Skrang,0
1038,@KhamirahPenyarang,2024-12-01T22:50:50Z,"Nah gitu aja ,adem ayem dapet pahala.",0
1039,@KhamirahPenyarang,2024-12-01T22:51:20Z,​@@utimecca4519kiyamat kali,0
1040,@ridwanrealme6360,2024-12-01T13:49:13Z,"Masukkk..
Semoga sukses injih Bang AHY",2
1041,@yunahgwr574,2024-12-01T13:47:29Z,"Karir dijalani secara step by step, ibarat buah biar matang secara alami, baru dijual, pembelinya rakyat Indonesia. Merdeka ❤🇮🇩",72
1042,@tetapsemangat6344,2024-12-01T14:54:49Z,Harusnya gitu yaa step by step... Bukan langsung jadi..... Ah sudahlah,2
1043,@febisaputro2401,2024-12-01T16:28:01Z,bener kaya AHY suka mengonggong dan menjlat,1
1044,@bocahbagus563,2024-12-02T02:35:20Z,Tp si Samsul dari bocah ingusan yg gagal jd pengusaha martabak langsung bisa jd walikota.. menjabat wali kota blm kelar bisa jd Wapres. Enak jg ya jd Samsul ngk perlu susah payah cari kerja,5
1045,@SanjayaAanjaya-w3k,2024-12-02T02:44:52Z,@@bocahbagus563 ia lah enak emang lo.. cuman jadi benalu wk wk,1
