,author,published_at,comment,like
37,@バユ-バユ,2024-07-14T02:49:28Z,"@@arijatmiko1521 typo disini ga akan ngaruh apa apa, 
ketimbang kontrak kerja yg pns buat di sppp, kontrak milyaran tapi isi kontrak banyak typo nya.
😌

ending nya ya selalu subcon pihak kedua yg harus lebih dewasa dan beresin kerjaan berantakan mereka.
😌

tapi gua percaya kalau lo memang pns, keliatan dari cengengesan lo dan lebih milih bahas ecek soal typo.
😌",0
38,@blackblack1096,2024-07-14T01:46:21Z,"Ibaratnya gini,lu mau bikin rumah baru tpi dana ga ada akhirnya ngutang sana sini, tmbah program makan gratis bingung dana dr mana, ujung2nya para pgusaha UMKM Warteg diutangin dlu, bayarnya nanti 😂 gaji/tunjangan aja trkdang telat2 bayarnya apalagi program baru",0
39,@SUSUFAFA,2024-07-14T01:40:45Z,Track.....tractor. Tdk tau malu....,0
40,@sukri5913,2024-07-14T01:34:09Z,Koen 9mong opo,0
41,@Rizal_Rahman97,2024-07-14T01:33:06Z,"PSI, buzzerRp & relawan Projo dkk adalah perusak demokrasi, hukum & konstitusi hasil karya dinasti Firaun cabang Solo👎🏻",1
42,@martinmarpaung7815,2024-07-14T01:28:20Z,Terimakasih Grace utk infonya...semoga IKN terus berproses dg baik.,1
43,@RakaSumerta,2024-07-14T05:56:04Z,Kelompok buzzer dan penjilat .. kaciiaan deh,0
44,@mutiya5490,2024-07-14T01:27:31Z,"lanjuuuttt,,,JIKA ALLAH SUDAH BERKEHENDAK,,,MANUSIA  BISA APA,,,,",0
45,@AbsGlobal-g3f,2024-07-14T01:27:20Z,Sudah tapi belum,0
46,@fadlifarades0548,2024-07-14T01:24:54Z,CALON PENGHANCUR NEGRI . GRACIA INI,0
47,@maizajantoro6504,2024-07-14T01:20:01Z,Satu frekuensi 😂😂,0
48,@ardinalmikiputra7391,2024-07-14T01:17:20Z,On the track bibir si joko ableh !!!,0
49,@alansutarjo1621,2024-07-14T01:16:17Z,Tragis,0
50,@UripNugroho-wo2eo,2024-07-14T01:15:02Z,On the track ndasmu .....investornya belum ada dan  proyek dihentikan,1
51,@yunusbyu2514,2024-07-14T01:11:50Z,Terlalu keburu buru,0
52,@1ndragunawan,2024-07-14T01:10:54Z,"Pembangunan on the track.

Ya betul, kereta api juga jalannya on the track, cuma kadang2 molor.
IKN on the track, cuma molor.
😂",0
53,@syarifal-mahdi5683,2024-07-14T01:04:50Z,Perempuan dungu ini berulah sok pintar.,1
54,@vivobogor9459,2024-07-14T01:00:18Z,Hutang banyak,0
55,@brigadirz6058,2024-07-14T00:50:11Z,Impian aseng dan oligarki punya IkN utk bisa berbisnis aman dan nyaman dgn penguasa tanpa gangguan rakyat jelata,1
56,@dedidean9729,2024-07-14T00:47:32Z,"Apanya yg sesuai TARGET???
Ooo jadi Grace Natalie SBG staf khusus tugas nya hanya utk info ttg ikn....",0
