comment,author,publishedAt,likeCount
Mau tanya organisasi RATU PRABH itu apakah benar utk organisasi program makan bergizi gratis?? Maaff saya cuma tanya 🙏🙏,@muh.ridani_,2024-11-17T00:07:25Z,0
klo sekolah dilibatkan ....100% korup😂😂😂 guru jaman now...otak cuma duit..fakta bos...jgn tutup mata di semua sekolah  bnyk iuran ghoib...dr dana raport..dana seragam😂😂 makelar....,@taiwansyahdu-t5p,2024-11-13T12:45:11Z,0
Keren banget,@dedesetyawidjaya1124,2024-11-12T11:47:11Z,2
"Sebenarnya pemberian makan gratis dah lama ada terutama dikota2 besar, disediakan dipinggir jalan tertentu, masyarakat bisa ambil maupun isi rak yg telah disediakan",@UserAbs-t5g,2024-11-12T02:55:19Z,0
"Lho dana dr hutang ke china lho, gimana nih",@annasangjeomstore9427,2024-11-12T02:52:19Z,0
Butuh waktu itu sampai pada daerah lain Krn ada proses yang panjang yg dilalui...mohon kita slalu mendukung program pimpinan kita dengan semangat positif,@DzachwanHadziq-y3n,2024-11-10T07:14:39Z,2
Jawa tengah pak bagian kendal blum ada pak,@faridaaa-j3n,2024-11-10T04:21:40Z,0
Aceh kok blum berjalan .. Aceh singkil,@SitiAsiyah-fl6cc,2024-11-09T15:33:10Z,1
Yakan tanggal 2 Januari 2025,@Askiya0607,2024-11-09T10:30:15Z,1
"Ko belum sampai ke kab Lamongan,ditunggu pak❤",@SamSul-be1oe,2024-11-09T05:02:08Z,0
Gak semua gratis yaa pak kalau bogor barat parung panjang tenjo jasinga 3 raksa belum ada pak untuk makan gratis buat anak sekolah 😅😅😅,@mamun390,2024-11-09T03:05:41Z,2
Terus nasib yang jual makan di kantin sekolah bagaimana??😮,@hidayatkurniawan05,2024-11-08T02:24:43Z,0
"Baiknya ikut dilibatkan program ini, bisa dijadikan penyedia Salah satu keburuhan makan gratis...",@UserAbs-t5g,2024-11-12T02:57:56Z,1
😅😅😅,@Rizal-u4f,2024-11-21T08:57:31Z,0
Kawal dananya ya brpa rupiah yg nyampe ke umkm😊,@DianHarianto-f5c,2024-11-07T21:27:47Z,0
"Kampung, Papua Barat, Papua harus mendapat ini",@IndonesiaEmas-y4l,2024-11-07T14:12:50Z,5
Jawa tengah daerah Pemalang belum ada makan bergizi gratis untuk anak sekolah,@EkoPrasetio-i8g,2024-11-07T13:38:46Z,2
"Ga cuma Pemalang, mayoritas tempat di Indonesia juga belum ada program makan bergizi gratis lha wong program dimulai Januari 2025 😊",@Redjokopi,2024-12-03T02:24:10Z,0
Makin kaya yang pegang tender,@sulastrikuddus7557,2024-11-07T12:22:28Z,1
Hamba Allah itu ya Pak Prabowo piye to we ki ngk do paham,@naflaabriana2402,2024-11-05T14:35:14Z,1
cie minta donatur mengatas namakan hamba allah,@Anita-x2r5j,2024-11-05T12:45:38Z,0
"cie janji kampanye makan siang gratis
skrg ganti makan bergizi",@Anita-x2r5j,2024-11-05T12:45:06Z,1
"10 REBU UNTUK INDONESIA CEMAS 2045,  MANA ADA GIZI ???? KAPAN MAKAN DAGINGYA !!!",@masdul-dx9sf,2024-12-08T12:02:23Z,0
Balikin Nama lagi aja jadi Makan murah gratisan,@LaguSlowlndonesia,2024-12-08T08:21:15Z,0
"Klo beli di warung ya gak dapat lauknya bos, ini di tempat sya 10 rbu sudah dapat sama lauk ayam klo di masak sendiri, itu warungkan juga cari untung, klo pakai ayam warungnya yg buntung, tapi klo di masak sendiri sudah bisa sama lauknya apalagi masaknya jumlanya banyak pasti harga sayur dan lauknya bisa dapat harga yg lebih murah sari suplayernya asal yg masak gak cari untung.",@bambangmas160,2024-12-08T05:39:59Z,0
"Kalo bisa ada rendang jengkolnya biar anak pintar, sudah terbukti jengkol membawa pinter",@PutriYulia-e3m,2024-12-08T01:09:22Z,0
salam joget 😂😂😂,@HendraRoy-nz9nu,2024-12-07T22:59:36Z,0
Program makan Gratis itu bukan beli diwarung tapi tim masak sendiri. Misal 500 anak x 10.000 masak kolektif biaya bs ringan,@BahroniAhmad,2024-12-07T09:59:45Z,0
"Sy belom dengar...ada mkn gratis di sekolah""..di bekasi...cikarang..ini yg dpt mkn gratis daerah mana saja ya....",@hennymaryani2303,2024-12-06T09:08:16Z,0
Kok beda ya tampilan makanan sama blusukan nya si gibran?,@aristataufiq3087,2024-12-06T06:52:01Z,0
Hadeh2 lucunya janji kampanye andalan??,@aristataufiq3087,2024-12-06T06:51:13Z,0
Masa bulan madu politik .....semua masih terlihat baik.,@subiyantoro9240,2024-12-05T23:01:01Z,1
"Coba rapat pejabat... disamakan maminnya 10rb, akan mengurangi anggaran",@TommyEdisontomi,2024-12-05T11:53:21Z,0
"Terlalu dipaksakan 
.....mending dananya untuk pendidikan gratis dan perbaikan fasilitasi",@TommyEdisontomi,2024-12-05T11:48:13Z,0
Ass kalo bisa anggarn segitu baiknya dapur yg dekat sekolah aja,@Ileganteng-l9w,2024-12-05T04:42:03Z,1
"Masakan bergizi di jaman skrg itu 50.000.
Sesuai dng slogan Indonesia
4 sehat 5 sempurna...
Jangan di ubah lg ajaran ini..
Ini diajarkan di jaman orba dan sdh benar.

Lbh berguna pendidikan gratis,
Kalo menu 10.000 ,ortu msh mampu 
Tp kalo uang pendidikan yg berat.

10.000 makanan bergizi hanya omong kosong aja. Apalagi ppn naik 12%",@TigerMad2024,2024-12-04T06:49:06Z,0
Kasihan pak takjat anak kecil pertumbuhan da gede bolot kuga 🤪👻😂,@chuindrawati747,2024-12-04T00:04:52Z,0
Kulit ajam tulanganam kangkung tempe nasi sekali makan 😂😂😁🤡daerah goseng kali 🤣,@chuindrawati747,2024-12-04T00:03:30Z,0
Menta je mahal pak 👿😈👽🤪🤡👻🤪👻,@chuindrawati747,2024-12-04T00:01:31Z,0
Prabowo kasih makan pakai telur bukan pakai capcai,@JihanBella-c3s,2024-12-03T18:37:06Z,0
junjungan 58% .. raja omon-omon,@itsmeadhit8787,2024-12-03T15:48:47Z,0
"Media jg ngompori, napa.. mungkin buat orang yg ngasi jajan anaknya 50rb ini ga berarti, tpi buat kluarga yg hanya bs ngasi jajan 5rban, ini sudah sangat membantu buat makan siang anak, yg sekolah full day..",@muhammadarobi6643,2024-12-03T15:04:29Z,0
"Itu bukan ngompori, tp mengajak kita utk berpikir logis & realistis.",@dwipurnomo9343,2024-12-03T16:10:13Z,1
"Maaf sebelumnya , tukang ojek aja makanya 17-25rb, itu pun kadang cuma makan sekali sehari loh pak, bela2 in hemat supaya bisa kasih orang rumah. 😭",@destamax3989,2024-12-03T14:46:07Z,0
nanti setelah sampai ke anak apakah masih senilai 10 ribu/porsi?,@mikaellipo2001,2024-12-03T14:39:21Z,0
Kalau di papua dpet apa,@pejuangrufia3567,2024-12-03T14:15:04Z,0
